Gender,University,Age,Type_of_Residence,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Primary_Guardian,Motivation_Level,University_Selection_Method,University_Choice_Reason,Program_Choice_Personal,Program_Satisfaction_Level,Living_Arrangement,Travel_Time_,Study_Hours_Per_Week,Failed_Classes,Num_Failed_Classes,Extra_Support_University,Changed_Major,Reason_Changed_Major,Considered_Dropout,Reason_Considered_Dropout,Adjustment_Issues,Adjustment_Difficulty,Stress_Frequency,Made_Friends,Hangout_Frequency,Social_Activity_Frequency,Extracurricular_Participation,Free_Time,Classmate_Cooperation,Mentor_Support,Internet_At_Home,In_Relationship,Relationship_Satisfaction,Family_Relationships,Overall_Health,Bullying_Frequency,PartTime_Job,Absences_Semester,Average_CGPA,CGPA_Satisfaction
M,Southeast University ,24,U,GT3,A,4,4,Service holder ,Service holder ,Father,5,Referred by someone,Waiver ,Yes,5,With family,35,2,No,,Yes,No,,No,,No major issues,1,Rarely,Yes,5,Rarely,Yes,5,5,5,Yes,Yes,5,5,5,Never,Yes,2,3.52,1
M,BUFT,21,U,GT3,A,4,4,Housewife,Service holder ,Father,5,Own choice,Course,Yes,5,With family,60,1,No,0,No,Yes,Better career opportunities in the new major,No,Personal reasons,Homesickness,5,Never,No,5,Never,No,5,5,5,Yes,No,1,5,5,Always,No,2,3.5,5
M,BUFT,24,U,LE3,A,3,4,Housewife ,Businessman ,Mother,2,Own choice,Course,Yes,4,In university halls,20,3,No,0,No,No,No change ,No,Personal reasons,No major issues,3,Sometimes,Yes,5,Sometimes,Yes,2,4,3,Yes,No,1,5,3,Sometimes,No,4,3.22,2
M,UIU,25,U,GT3,A,3,4,Housewife ,Service holder,Father,3,Own choice,Reputation,Yes,4,With family,30,2,Yes,3,No,No,,Yes,Family responsibilities,No major issues,3,Never,Yes,3,Often,Yes,1,3,5,Yes,Yes,5,5,1,Never,Yes,2,2.5,3
M,DIU,24,U,GT3,A,4,4,Housewife ,Businessman ,Father,1,Own choice,Reputation,Yes,1,With family,90,1,Yes,3,Yes,No,,No,,No major issues,1,Often,Yes,3,Rarely,No,2,3,3,Yes,No,,5,5,Never,No,1,0,5
M,DIU,23,R,GT3,T,3,3,Housewife ,Police man,Father,5,Own choice,Reputation,Yes,4,Private accommodation,150,3,No,0,Yes,No,Better career opportunities in the new major,No,Health issues,No major issues,3,Sometimes,Yes,3,Rarely,Yes,2,3,4,Yes,Yes,5,5,3,Never,Yes,8,3.32,4
M,DIU,23,U,GT3,A,3,1,Housewife ,Retired ,Mother,3,Own choice,Near Home,Yes,3,With family,40,2,No,,Yes,No,,Yes,Personal reasons,No major issues,2,Sometimes,Yes,4,Rarely,No,3,4,3,Yes,No,,4,3,Never,No,2,3.8,5
M,DIU,23,U,GT3,A,3,4,Housewife,Designer Officer,Father,5,Own choice,Course,Yes,5,With family,100,3,No,,Yes,No,,No,,Difficulty making friends,3,Always,Yes,4,Sometimes,Yes,3,3,3,Yes,No,,5,5,Never,No,5,3.3,1
M,World university ,23,U,GT3,A,3,4,Housewife ,Govt job,Father,3,Referred by someone,Near Home,Yes,3,With family,120,2,No,0,Yes,No,,No,Academic difficulties,No major issues,2,Sometimes,Yes,1,Often,No,1,3,2,Yes,No,,5,5,Rarely,No,4,3.04,3
M,SMUCT,23,U,GT3,A,4,4,Housewife,Retired,Father,5,Referred by someone,Reputation,Yes,4,Private accommodation,30,3,No,0,Yes,No,Better career opportunities in the new major,No,Personal reasons,No major issues,3,Rarely,No,2,Sometimes,Yes,1,2,2,Yes,Yes,1,4,4,Never,Yes,6,3.59,3
F,SMUCT,22,U,GT3,A,4,4,Nurse ,Banker,Father,3,Own choice,Course,Yes,4,With family,60,2,Yes,3,Yes,Yes,Better career opportunities in the new major,Yes,Health issues,Homesickness,3,Rarely,Yes,3,Sometimes,No,1,5,4,Yes,No,1,3,1,Never,No,3,,1
F,BUFT,24,U,GT3,A,3,3,Housewife ,Businessman ,Father,3,Own choice,Course,Yes,4,Private accommodation,40,2,Yes,2,No,Yes,Personal or family reasons,Yes,Family responsibilities,Homesickness,2,Rarely,Yes,3,Rarely,Yes,2,2,3,Yes,Yes,5,3,4,Sometimes,Yes,0,3.2,2
M,DIU,24,U,GT3,A,2,3,Housewife,Private job,Father,4,Referred by someone,Reputation,Yes,3,With family,150,2,No,0,Yes,No,,No,,Difficulty understanding academic content,2,Often,Yes,3,Rarely,Yes,3,4,3,Yes,Yes,4,4,2,Sometimes,Yes,12,3.6,5
M,DIU,23,U,GT3,A,2,3,Housewife,Retired ,Father,3,Own choice,Near Home,Yes,2,Private accommodation,150,2,Yes,1,Yes,No,,Yes,Poor teaching or learning environment,No major issues,3,Always,Yes,2,Rarely,Yes,2,5,3,Yes,Yes,5,4,3,Rarely,No,9,3.5,3
M,UU,23,U,GT3,A,3,3,Housewife ,Private job,Father,4,Own choice,Reputation,Yes,2,With family,150,1,No,,Yes,No,,No,,No major issues,1,Sometimes,Yes,4,Rarely,No,2,2,3,Yes,No,,4,3,Never,No,0,1,4
F,Institute science and technology,23,U,GT3,A,4,4,Housewife,Businessman,Father,4,Own choice,Near Home,Yes,4,With family,120,1,No,,No,No,,Yes,Financial problems,No major issues,1,Sometimes,Yes,2,Rarely,No,1,5,5,Yes,Yes,4,5,3,Never,Yes,15,3.02,4
M,DIU,21,U,GT3,T,1,1,Housewife,Farmer,Father,3,Own choice,Course,Yes,4,Private accommodation,120,1,Yes,3,No,No,Better career opportunities in the new major,No,Academic difficulties,Homesickness,3,Sometimes,No,3,Rarely,No,3,3,3,Yes,Yes,4,5,5,Never,Yes,5,1.21,3
F,SMUCT,26,U,GT3,A,4,4,Housewife ,Businessman ,Father,3,Own choice,Near Home,Yes,3,With family,120,3,No,,Yes,No,,Yes,Personal reasons,No major issues,1,Rarely,Yes,3,Rarely,No,1,5,3,Yes,Yes,2,3,5,Rarely,Yes,12,3.36,3
M,UU,24,U,LE3,A,2,2,Housewife,Farmer,Father,3,Referred by someone,Course,Yes,1,With family,45,3,Yes,1,Yes,Yes,Difficulty in previous courses,Yes,Academic difficulties,Homesickness,2,Always,Yes,4,Never,Yes,2,2,2,Yes,Yes,2,2,2,Rarely,Yes,14,3.3,1
M,UN,24,R,GT3,A,2,2,Housewife ,Businessman ,Father,3,Own choice,Reputation,Yes,1,With family,120,3,Yes,1,No,No,Better career opportunities in the new major,No,Financial problems,No major issues,2,Sometimes,Yes,5,Sometimes,Yes,2,3,4,Yes,No,1,1,4,Never,Yes,20,2.5,2
M,MU,25,U,GT3,A,4,4,Teacher ,Businessman,Father,3,Referred by someone,Near Home,Yes,3,Private accommodation,120,2,Yes,5,Yes,No,,No,,No major issues,3,Sometimes,Yes,3,Rarely,Yes,3,3,2,Yes,No,,4,1,Never,No,10,3.12,2
M,BUFT,22,U,GT3,A,1,0,Housewife,Businessman,Father,1,Own choice,Reputation,Yes,1,With family,60,3,No,,No,No,Lack of interest in the original major,No,Family responsibilities,No major issues,1,Always,Yes,5,Never,No,1,1,5,Yes,No,5,5,5,Never,No,20,3.08,3
F,DIU,23,U,GT3,A,3,4,Housewife ,Service holder,Father,4,Own choice,Course,Yes,4,Private accommodation,240,4,No,,No,No,,No,,Homesickness,3,Sometimes,Yes,3,Sometimes,Yes,3,5,5,Yes,No,,5,4,Never,No,4,3.8,4
F,DIU,23,R,GT3,A,4,4,Housewife ,Businessman ,Father,3,Referred by someone,Course,Yes,4,In university halls,10,3,No,0,Yes,No,,No,,No major issues,2,Sometimes,Yes,1,Sometimes,No,3,4,4,Yes,No,,5,4,Never,Yes,2,3.6,3
F,East west university,23,U,GT3,A,3,2,Housewife,Service holder,Father,4,Own choice,Reputation,Yes,4,With family,150,1,No,,Yes,Yes,Personal or family reasons,No,,No major issues,1,Sometimes,Yes,3,Sometimes,No,3,4,4,Yes,Yes,4,4,4,Never,No,2,3.68,4
F,DIU,23,U,GT3,A,4,4,Housewife ,Businessman,Father,5,Own choice,Course,Yes,3,In university halls,20,1,No,,Yes,No,,No,,No major issues,3,Rarely,Yes,3,Never,No,3,3,3,Yes,No,,5,4,Never,No,2,2.98,3
M,BUFT,22,R,GT3,A,3,3,Housewife ,Dead ,Brother ,3,Own choice,Reputation,Yes,3,With family,150,2,No,0,No,Yes,Lack of interest in the original major,No,Personal reasons,No major issues,3,Rarely,Yes,3,Sometimes,Yes,3,3,3,Yes,No,3,4,5,Sometimes,No,5,3.5,4
F,UU,20,U,GT3,A,3,3,Housewife ,Manager admin,Father,3,Referred by someone,Near Home,Yes,3,With family,120,2,No,0,No,No,,No,,Difficulty understanding academic content,3,Rarely,Yes,2,Sometimes,Yes,3,4,3,Yes,No,,4,2,Never,No,5,3,2
M,DIU,24,U,GT3,A,4,4,Service holder ,Service holder,Father,1,Own choice,Course,Yes,3,With family,45,1,Yes,,Yes,No,,Yes,,No major issues,2,Never,Yes,2,Never,No,3,2,3,Yes,Yes,5,4,4,Often,No,1,3.5,4
M,DIU,25,U,GT3,A,4,4,Housewife ,Govt job,Father,2,Own choice,Course,Yes,3,With family,120,2,No,,Yes,No,,No,,No major issues,3,Never,Yes,4,Often,Yes,3,3,3,Yes,No,,5,5,Sometimes,No,3,3.23,5
M,DIU,25,R,GT3,A,4,4,Housewife,Service holder,Father,5,Own choice,Hall,Yes,5,In university halls,20,1,No,0,Yes,No,Personal or family reasons,No,Financial problems,No major issues,3,Always,Yes,5,Very Often,Yes,5,5,5,Yes,No,5,5,5,Never,No,0,3.83,5
F,DIU,24,U,GT3,A,4,4,Housewife,AGM ,Father,1,Campus,Campus,No,5,In university halls,20,1,No,,No,No,,No,,No major issues,1,Never,Yes,5,Never,Yes,1,1,3,Yes,Yes,5,1,1,Always,No,10,3.9,5
M,DIU,18,U,GT3,T,4,3,Housewife,Businessman,Father,3,Own choice,Course,Yes,3,With family,20,1,No,,Yes,No,,No,,No major issues,2,Sometimes,Yes,4,Often,Yes,3,3,4,Yes,No,,4,4,Rarely,Yes,1,3.5,4
F,DIU,19,U,GT3,A,3,4,Housewife,Businessman,Father,3,Own choice,Near Home,Yes,3,With family,120,2,No,0,Yes,No,Difficulty in previous courses,No,Financial problems,Difficulty making friends,4,Sometimes,No,2,Sometimes,No,1,3,4,Yes,No,1,4,3,Never,No,0,,4
F,DIU,20,U,LE3,A,4,4,Housewife,Banker ,Father,5,Own choice,Course,Yes,4,In university halls,20,2,No,0,No,No,"No, i never change this ",Yes,Health issues,Difficulty making friends,1,Sometimes,No,2,Never,No,3,4,5,Yes,Yes,5,5,3,Never,No,15,,2
M,DIU,21,U,GT3,A,4,4,Housewife,Businessman,Father,4,Referred by someone,Course,Yes,4,With family,40,2,No,1,No,No,No i didnt ,No,Financial problems,No major issues,3,Never,Yes,5,Sometimes,Yes,3,4,3,Yes,No,5,3,5,Sometimes,No,16,4,3
M,DIU,23,U,GT3,A,4,4,Service holder,Teacher,Father,1,Own choice,Reputation,Yes,2,With family,120,2,No,,Yes,No,,Yes,Poor teaching or learning environment,No major issues,3,Sometimes,Yes,2,Never,No,1,4,1,Yes,Yes,3,2,1,Often,Yes,5,3.5,5
M,SMUCT,21,U,LE3,T,4,4,Lawyer,Doctor,Mother,1,Own choice,Reputation,Yes,1,Private accommodation,60,2,Yes,3,No,Yes,Lack of interest in the original major,Yes,Peer pressure or social isolation,Difficulty making friends,3,Rarely,Yes,4,Rarely,Yes,3,3,3,Yes,Yes,5,1,4,Sometimes,Yes,6,3.2,1
F,DIU,23,U,GT3,A,4,3,Teacher ,Businessman,Father,5,Own choice,Course,Yes,1,Private accommodation,120,1,Yes,0,Yes,Yes,Difficulty in previous courses,Yes,Academic difficulties,Homesickness,1,Never,Yes,1,Never,Yes,1,1,1,Yes,Yes,1,1,1,Never,Yes,0,3,3
F,DIU,23,R,GT3,A,4,4,Teacher ,Businessman ,Father,4,Referred by someone,Reputation,No,4,Private accommodation,120,2,No,0,Yes,No,Lack of interest in the original major,No,Lack of interest in the program,Homesickness,3,Rarely,No,2,Rarely,No,1,3,4,Yes,No,3,5,3,Never,No,2,3.05,2
F,UU,21,R,LE3,T,0,2,Housewife,Businessman,myself,2,Referred by someone,Near Home,No,5,Private accommodation,120,2,Yes,2,No,Yes,Lack of interest in the original major,Yes,Family responsibilities,Difficulty understanding academic content,2,Always,Yes,5,Very Often,Yes,5,5,4,No,Yes,1,2,4,Never,Yes,20,3.2,1
M,DIU,23,U,GT3,T,4,4,Teacher ,BGB,Father,1,Own choice,Reputation,No,2,Private accommodation,10,1,No,0,Yes,Yes,Lack of interest in the original major,No,Lack of interest in the program,No major issues,4,Always,Yes,3,Sometimes,Yes,2,2,2,Yes,No,5,4,1,Often,Yes,3,3.35,1
M,DIU,22,U,GT3,T,4,4,Housewife ,Businessman,Father,4,Own choice,Course,Yes,4,With family,120,2,No,0,Yes,No,,No,,No major issues,2,Sometimes,Yes,3,Sometimes,No,4,3,4,Yes,Yes,4,3,3,Rarely,No,0,3.8,3
M,DIU,20,U,GT3,A,3,2,Housewife,Businessman,Father,3,Own choice,Course,Yes,4,Private accommodation,80,3,No,0,Yes,No,No,No,No,No major issues,2,Rarely,Yes,5,Never,No,4,4,4,Yes,Yes,5,5,4,Never,No,2,,4
F,DIU,20,R,GT3,A,4,1,Teacher,Businessman,Both,5,Own choice,Course,Yes,4,With family,180,2,Yes,1,No,No,,No,,Difficulty making friends,2,Often,Yes,2,Very Often,Yes,2,5,5,Yes,No,,5,4,Never,No,1,,4
M,DIU,26,U,GT3,A,4,4,Housewife ,Businessman ,Father,3,Own choice,Reputation,No,3,With family,90,2,No,,No,Yes,Lack of interest in the original major,Yes,Poor teaching or learning environment,No major issues,3,Often,Yes,4,Rarely,Yes,3,1,3,Yes,No,,4,4,Never,No,7,3.15,1
M,DIU,24,R,GT3,T,3,4,Housewife,Deed Writer,Father,2,Referred by someone,Course,Yes,1,With family,240,2,Yes,3,No,No,,Yes,Lack of interest in the program,Difficulty understanding academic content,5,Often,Yes,3,Sometimes,No,1,1,1,Yes,Yes,2,1,2,Sometimes,Yes,15,2.5,1
M,DIU,25,U,GT3,A,3,4,Housewife ,Businessman,Father,3,Own choice,Reputation,Yes,5,With family,120,3,No,0,Yes,No,Nill,No,Personal reasons,No major issues,3,Sometimes,Yes,3,Sometimes,Yes,3,2,3,Yes,No,1,5,4,Never,No,3,3,2
M,DIU,25,R,LE3,A,1,2,Housewife,Businessman ,Father,1,Referred by someone,Course,Yes,2,With family,40,2,No,,Yes,No,,Yes,Poor teaching or learning environment,No major issues,3,Often,Yes,4,Never,No,2,3,5,Yes,No,,3,3,Never,No,8,2.75,3
M,DIU,22,U,LE3,A,2,4,Housewife ,Businessman,Mother,3,Own choice,Others,Yes,3,With family,120,2,Yes,4,Yes,No,,No,,No major issues,1,Sometimes,Yes,5,Often,Yes,2,5,3,Yes,No,,5,3,Never,Yes,12,2.6,1
M,DIU,22,U,LE3,A,1,0,Housewife,Doctor,Father,2,Own choice,Course,Yes,4,Private accommodation,20,1,No,,No,No,Better career opportunities in the new major,Yes,Personal reasons,Difficulty making friends,4,Rarely,Yes,2,Rarely,Yes,4,5,3,Yes,No,1,5,3,Rarely,No,15,3,3
F,DIU,23,R,GT3,A,2,3,Housewife,Doctor,Father,4,Referred by someone,Course,Yes,5,Private accommodation,10,3,No,,No,No,Personal or family reasons,No,Health issues,No major issues,3,Never,Yes,4,Often,Yes,4,5,5,Yes,Yes,5,5,4,Never,No,4,3.5,4
M,BUFT,22,R,LE3,A,3,4,Teacher,Teacher,Father,5,Own choice,Course,Yes,5,Private accommodation,30,3,No,,No,No,Recommendation from academic advisor,No,Personal reasons,No major issues,5,Never,No,4,Often,No,5,4,4,Yes,No,1,5,5,Never,No,2,3.67,2
M,IUB,23,U,GT3,A,3,3,Housewife,Businessman ,Father,4,Own choice,Reputation,Yes,4,With family,30,2,No,,Yes,No,,No,,No major issues,2,Rarely,Yes,5,Sometimes,No,3,5,4,Yes,Yes,5,5,4,Never,No,7,3.35,3
M,DIU,25,U,GT3,A,4,4,Housewife,Corporate Job,Father,2,Referred by someone,Reputation,Yes,1,With family,120,1,No,,Yes,No,,Yes,Personal reasons,No major issues,3,Sometimes,Yes,3,Often,Yes,1,1,2,Yes,No,,5,3,Rarely,No,15,3.58,3
M,UU,24,U,GT3,A,3,4,Housewife,Businessman,Father,3,Referred by someone,Reputation,Yes,4,With family,120,1,No,0,Yes,No,,No,,No major issues,2,Rarely,Yes,4,Rarely,Yes,3,3,3,Yes,No,,5,4,Never,No,1,3,3
F,Stamford University Bangladesh ,25,U,GT3,A,2,3,Housewife ,Businessman ,Father,4,Own choice,Course,Yes,3,With family,120,1,No,,Yes,No,,No,Difficulty adjusting to university life,Homesickness,3,Always,Yes,5,Sometimes,No,2,3,5,Yes,No,,3,3,Sometimes,No,5,3.79,3
F,DIU,23,U,GT3,A,4,4,Housewife,Govt job,Father,2,Own choice,Near Home,Yes,1,With family,180,1,No,,No,No,Difficulty in previous courses,No,Poor teaching or learning environment,Difficulty understanding academic content,3,Sometimes,Yes,3,Sometimes,No,1,3,3,Yes,No,3,5,3,Sometimes,No,10,3.5,3
M,DIU,26,R,GT3,A,1,3,Housewife, Businessman,Father,3,Own choice,Reputation,Yes,3,With family,120,3,Yes,1,Yes,No,,Yes,Family responsibilities,No major issues,2,Sometimes,Yes,2,Rarely,No,1,3,3,Yes,Yes,3,2,3,Rarely,Yes,0,2.86,3
M,DIU,24,U,GT3,A,3,4,Housewife,Businessman ,Father,1,Referred by someone,Reputation,No,1,With family,120,1,Yes,2,Yes,No,No,Yes,Lack of interest in the program,Difficulty understanding academic content,5,Always,Yes,5,Very Often,Yes,1,1,3,Yes,No,,4,4,Rarely,Yes,2,2.99,1
M,DIU,22,R,LE3,A,4,4,Teacher,Teacher,Father,4,Own choice,Near Home,Yes,4,In university halls,20,2,No,,Yes,No,,No,,No major issues,2,Rarely,No,3,Rarely,Yes,3,4,4,Yes,No,,5,5,Never,No,0,3.85,5
M,DIU,2r,U,LE3,A,2,0,Housewife ,Businessman,Father,3,Own choice,Reputation,Yes,3,Private accommodation,60,2,No,0,No,No,Personal or family reasons,No,Personal reasons,No major issues,1,Rarely,Yes,2,Never,No,2,2,2,Yes,No,5,5,5,Never,No,10,3,2
M,DIU,23,U,GT3,A,3,3,Housewife,Service holder,Father,4,Referred by someone,Reputation,Yes,3,With family,120,2,No,,Yes,No,,No,,Difficulty making friends,1,Often,Yes,2,Never,Yes,1,4,4,Yes,No,,5,4,Sometimes,Yes,8,3.63,5
M,DIU,26,U,GT3,A,4,4,Teacher,Teacher,Mother,1,Own choice,Reputation,Yes,1,With family,120,1,No,0,Yes,No,,No,,No major issues,1,Always,Yes,2,Often,Yes,1,1,2,Yes,No,1,5,5,Never,Yes,10,3.5,1
M,DIU,23,U,GT3,A,4,3,Housewife ,Businessman,Father,4,Own choice,Reputation,Yes,4,With family,180,2,Yes,2,No,No,,No,,No major issues,3,Sometimes,Yes,4,Sometimes,Yes,3,3,4,Yes,No,,4,3,Never,No,0,3.2,4
M,DIU,23,U,LE3,A,3,3,Housewife,Businessman,Father,3,Referred by someone,Reputation,No,2,Private accommodation,120,2,Yes,1,Yes,No,,No,,Homesickness,2,Never,Yes,3,Often,No,2,4,1,Yes,Yes,4,5,4,Rarely,No,7,3.2,1
M,DIU,21,U,GT3,A,4,4,Housewife ,Businessman,Father,4,Referred by someone,Reputation,Yes,4,With family,120,3,No,,Yes,No,,No,,No major issues,3,Sometimes,Yes,4,Sometimes,Yes,2,3,5,Yes,No,,4,4,Rarely,No,0,3.83,5
M,DIU,24,U,GT3,A,3,3,Housewife ,Businessman,Father,4,Referred by someone,Course,Yes,4,With family,240,2,Yes,2,No,No,,No,Personal reasons,No major issues,4,Rarely,Yes,2,Rarely,No,3,4,4,Yes,No,,4,4,Never,No,1,3.14,2
M,DIU,19,U,LE3,A,4,4,Service holder,Service holder,Father,5,Own choice,Reputation,Yes,5,With family,180,2,No,0,No,Yes,,No,,No major issues,5,Never,Yes,5,Never,No,3,5,5,Yes,No,,5,5,Never,No,1,,5
M,JUST,23,R,GT3,A,3,4,Housewife,Service holder,Father,3,Own choice,Reputation,Yes,3,With family,40,2,No,,Yes,No,,No,,Difficulty making friends,3,Often,Yes,2,Rarely,No,3,3,3,Yes,No,,3,3,Sometimes,No,3,3.23,3
M,DIU,22,U,GT3,A,4,4,Housewife ,Service holder ,Father,3,Referred by someone,Near Home,Yes,4,With family,60,3,No,,Yes,No,,No,,No major issues,2,Sometimes,Yes,3,Often,Yes,3,5,5,Yes,No,,5,4,Rarely,No,3,3.3,3
F,DIU,24,U,GT3,A,3,4,Housewife ,Service holder ,Father,3,Own choice,Waiver ,Yes,3,With family,120,2,No,,Yes,No,,No,,Difficulty understanding academic content,2,Often,Yes,3,Sometimes,Yes,2,4,3,Yes,Yes,3,4,4,Never,No,1,3.6,4
M,DIU,22,U,GT3,A,4,4,Teacher,Teacher ,Father,4,Own choice,Course,Yes,4,With family,120,2,No,0,Yes,No,,No,Academic difficulties,No major issues,3,Rarely,Yes,4,Often,Yes,2,3,3,Yes,No,,4,4,Never,No,2,3.47,2
F,DIU,20,U,GT3,A,3,4,Housewife,Retired,Father,1,For transport benefits ,Transport facilities ,Yes,2,With family,120,2,No,,No,No,Better career opportunities in the new major,Yes,Personal reasons,Difficulty making friends,5,Always,Yes,1,Often,Yes,2,2,5,Yes,Yes,1,2,3,Rarely,No,0,,1
M,DIU,23,U,GT3,A,3,4,Housewife,Corporate job ,Father,3,Own choice,Near Home,Yes,5,With family,60,1,No,,Yes,No,,No,,Homesickness,2,Rarely,Yes,3,Rarely,No,3,4,5,Yes,No,,5,2,Rarely,No,3,3.22,4
M,DIU,24,U,GT3,A,3,4,Housewife ,Govt job,Father,3,Own choice,Reputation,Yes,4,Private accommodation,90,2,No,0,Yes,No,Haven't changed ,No,Personal reasons,Difficulty understanding academic content,2,Sometimes,Yes,4,Often,Yes,4,3,4,Yes,No,1,5,4,Rarely,No,0,3.54,2
M,DIU,22,R,LE3,A,4,4,Housewife ,Businessman,Father,3,Own choice,Reputation,Yes,2,With family,180,1,No,,Yes,No,,No,,Difficulty understanding academic content,4,Often,Yes,1,Rarely,No,1,2,4,Yes,No,,5,3,Never,No,20,3.69,3
M,DIU,21,U,GT3,A,3,3,Housewife ,Govt job,Father,3,Referred by someone,Reputation,Yes,3,With family,240,1,Yes,3,No,No,Recommendation from academic advisor,No,No Drop,Difficulty understanding academic content,4,Sometimes,Yes,3,Sometimes,No,3,3,5,Yes,No,1,5,3,Sometimes,No,3,2.63,5
M,DIU,20,U,GT3,A,2,4,Housewife,Businessman,Mother,1,Referred by someone,Reputation,Yes,1,Private accommodation,60,1,No,,Yes,No,,No,,No major issues,1,Sometimes,Yes,3,Sometimes,Yes,5,5,4,Yes,No,1,5,2,Never,Yes,0,3.6,3
M,DIU,22,U,GT3,A,4,4,Housewife,Businessman,Father,3,Own choice,Near Home,Yes,1,With family,40,2,No,0,Yes,No,,No,,No major issues,1,Never,Yes,3,Often,Yes,1,5,5,Yes,Yes,5,5,3,Never,No,0,3,3
M,DIU,24,U,GT3,A,4,4,Housewife ,Being house ,Father,3,Referred by someone,Near Home,Yes,5,With family,180,1,Yes,2,No,No,,No,,Homesickness,3,Sometimes,Yes,3,Often,Yes,3,5,1,Yes,No,1,3,3,Never,No,3,3.22,3
F,DIU,24,U,GT3,A,3,4,Housewife ,Businessman,Father,4,Own choice,Course,Yes,3,In university halls,20,1,No,,Yes,No,,No,,Homesickness,3,Often,Yes,5,Sometimes,Yes,3,3,3,Yes,Yes,5,5,4,Never,No,0,3.88,3
F,DIU,21,U,GT3,A,4,4,Housewife ,Engineer ,Father,5,Referred by someone,Reputation,Yes,5,With family,180,2,No,,No,No,,No,,No major issues,1,Rarely,Yes,5,Never,Yes,3,3,5,Yes,Yes,5,5,3,Never,No,3,3.7,5
F,DIU,21,U,LE3,T,4,4,Housewife,Senior WO officer,Mother,3,Referred by someone,Reputation,Yes,4,With family,80,3,No,2,No,Yes,Personal or family reasons,No,Financial problems,Homesickness,4,Rarely,Yes,1,Often,Yes,3,3,4,Yes,No,1,3,5,Never,No,4,3.6,5
M,DIU,18,U,GT3,A,4,3,Housewife,Businessman,Father,3,Own choice,Course,Yes,4,With family,90,1,No,0,Yes,No,,No,,No major issues,3,Rarely,Yes,3,Often,Yes,3,3,3,Yes,No,,3,3,Rarely,No,1,3.88,4
M,DIU,22,U,GT3,A,3,4,Housewife,Businessman,Father,4,Referred by someone,Reputation,Yes,3,Private accommodation,120,4,No,,No,No,Better career opportunities in the new major,No,Financial problems,No major issues,3,Often,Yes,4,Often,No,1,4,3,Yes,No,,3,3,Rarely,No,7,2.79,1
M,DIU,20,R,GT3,A,3,4,Housewife,Businessman ,Father,3,Referred by someone,Course,Yes,3,With family,60,2,No,,No,No,,No,,No major issues,3,Often,Yes,1,Never,No,1,3,3,Yes,No,,3,4,Never,No,3,0,5
M,DIU,21,U,LE3,A,4,4,Housewife,Teacher,Father,3,Own choice,Reputation,Yes,3,With family,120,3,No,0,Yes,No,,No,,No major issues,2,Sometimes,Yes,4,Rarely,No,2,3,2,Yes,Yes,4,5,3,Never,No,1,3.9,4
F,DIU,22,U,GT3,A,3,4,Housewife,Businessesman,Father,1,Referred by someone,Reputation,Yes,2,Private accommodation,60,2,Yes,1,Yes,No,Better career opportunities in the new major,No,,Difficulty understanding academic content,4,Sometimes,No,3,Never,No,2,3,3,Yes,No,,4,3,Never,Yes,0,2.5,1
M,DIU,20,U,GT3,T,3,4,Housewife ,Service holder ,Father,4,Referred by someone,Reputation,Yes,3,With family,120,2,No,,No,No,Personal or family reasons,No,Family responsibilities,Difficulty understanding academic content,3,Sometimes,No,5,Very Often,No,4,3,2,Yes,No,5,3,2,Often,No,0,4,3
M,DIU,22,R,GT3,A,4,4,Housewife,Businessman,Father,3,Own choice,Near Home,Yes,3,With family,120,1,No,,No,No,,Yes,Job,Difficulty making friends,5,Always,No,1,Never,No,1,1,1,Yes,No,,5,2,Sometimes,Yes,20,2.7,3
F,DIU,22,R,GT3,A,4,4,Housewife,Service holder,Father,3,Referred by someone,Transport ,Yes,4,With family,180,3,No,,Yes,No,,No,,No major issues,1,Sometimes,Yes,3,Sometimes,No,2,3,3,Yes,Yes,3,4,4,Never,No,2,3.6,3
M,DIU,20,U,GT3,A,2,3,Housewife,Businessman,Father,2,Own choice,Course,Yes,4,With family,40,2,No,,No,No,,No,,No major issues,2,Rarely,Yes,4,Rarely,Yes,3,4,1,Yes,No,,5,4,Never,No,2,2.96,3
M,DIU,23,U,GT3,A,3,2,Housewife ,Army,Father,3,Own choice,Reputation,Yes,1,With family,240,4,No,,No,No,Difficulty in previous courses,No,Lack of interest in the program,Difficulty making friends,2,Rarely,No,2,Rarely,No,3,3,4,No,No,,2,3,Rarely,Yes,4,3.4,2
M,DIU,23,U,GT3,A,4,3,Housewife ,Govt job,Father,4,Own choice,Near Home,Yes,5,With family,240,1,No,,Yes,No,,No,,Difficulty making friends,3,Sometimes,Yes,1,Very Often,Yes,1,5,5,Yes,No,,5,5,Never,Yes,1,3.63,5
M,DIU,22,U,GT3,A,3,4,Housewife,Teacher,Father,3,Referred by someone,Near Home,Yes,4,With family,180,3,No,0,Yes,No,,No,,Homesickness,1,Sometimes,Yes,3,Rarely,No,1,3,3,Yes,No,,5,1,Often,No,2,3.91,1
M,DIU,22,U,LE3,T,3,4,Housewife,Govt job,Father,5,Own choice,Reputation,Yes,3,Private accommodation,180,3,Yes,3,Yes,No,Personal or family reasons,Yes,Financial problems,No major issues,4,Sometimes,Yes,3,Never,Yes,3,3,4,Yes,Yes,4,5,4,Never,Yes,0,2.5,3
